,Expression WT,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression WT 2,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression WT 3,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression WT 4,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression WT 5,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0055,0.038939941,-0.152956203,-0.230766822,0.137456814,0.038939941,0.254766241,0.392838827,0.1330984,0.134215914,-0.227044265,0.031814334,0.239391711,-0.102453458,-0.008027742,0.110224444,0.363027561,0.400105589,0.219933311,0.038939941,0.124724652,0.111973258,-0.016425141
b0058,-0.069892878,0.504757838,0.965798646,0.606504465,-0.069892878,-0.317718124,-0.173126753,-0.118988409,-0.014422665,-0.119100759,-0.320235899,0.122211945,-0.039081152,0.674479202,0.328779395,0.142110439,0.176994374,0.303352627,-0.069892878,0.274881641,0.127449766,0.005922508
b0059,0.03558565,0.416863795,0.819284865,0.531469328,0.03558565,-0.168972915,0.03879376,-0.410760914,-0.145611196,-0.153349267,-0.24586093,0.150746764,0.264004724,0.342499229,0.046592316,0.038558555,0.101087662,0.102395242,0.03558565,0.451847911,0.077318575,-0.11990085
b0060,0.020921703,-0.056422605,-0.034369264,0.110469678,0.020921703,-0.101041973,-0.323490283,-0.379662944,-0.18916553,0.033180344,-0.023333403,0.277565563,0.111748751,-0.116735719,-0.095945454,0.066059541,-0.099407564,-0.119067686,0.020921703,0.158821112,-0.381591935,-0.09919419
b0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0064,-0.022366823,-0.131304594,-0.246178474,-0.162045361,-0.022366823,-0.104207473,-0.221517343,-0.157906138,-0.220188428,0.12382583,-0.475112187,-0.468224444,-0.168113775,0.122297118,-0.056725362,-0.030415837,0.035256103,0.164469879,-0.022366823,-0.05831409,0.15876202,0.203579996
b0065,-0.029302474,0.056082555,0.018260581,0.049939964,-0.029302474,-0.018214459,-0.005144125,0.024848161,0.188146768,0.245152026,0.156883103,0.268045828,-0.181127936,0.092725886,-0.157244604,-0.351192551,-0.18936714,-0.079576865,-0.029302474,-0.207430998,-0.277020951,-0.04633888
b0066,0.036937739,-0.861930506,-0.878507865,-0.175025621,0.036937739,0.584644967,-0.077197559,-0.128150779,0.25940727,-0.529286127,0.301444231,1.180038707,-0.823678077,-0.845533137,0.418472909,0.597203488,0.347229943,0.395499581,0.036937739,0.222401044,-0.216796704,0.340296024
b0067,0.069378834,-0.68260606,-0.697758771,-0.44162575,0.069378834,0.251293874,-0.068094275,-0.114026615,0.113660328,-0.51610894,0.496096096,0.748386574,-0.647559693,-0.667596777,0.307972436,0.580922401,0.464854266,-0.003705336,0.069378834,0.26348666,-0.322704786,0.150255834
b0068,0.095738332,-0.706799193,-0.835367502,-0.138839922,0.095738332,0.451949824,0.1521636,0.177524561,0.156051369,-0.661207868,0.598957098,0.796936673,-0.497824267,-0.669289298,0.373992872,0.760011931,0.742656072,0.118287885,0.095738332,0.239886869,-0.113975027,0.318754649
b0069,-0.051640652,-0.347736752,-0.472017809,-0.455414484,-0.051640652,0.038429894,-0.022437962,0.053898311,0.130805597,0.110598388,-0.039692754,0.060982449,-0.029742473,0.020251722,0.044323567,-0.022702321,0.125603415,0.02897861,-0.051640652,-0.288478762,-0.138775614,-0.024544246
b0070,-0.070082173,-0.032481858,0.061174895,0.204911161,-0.070082173,0.007390229,0.42596135,0.254081658,-0.029193605,-0.170916718,-0.177601061,-0.0402311,0.157806415,0.504895669,0.381163238,0.172682595,0.336490776,0.243652402,-0.070082173,-0.059426639,0.375200087,0.194464273
b0071,0.055561927,-0.581871532,-1.354498186,-1.148828262,0.055561927,0.132228248,0.060425639,0.593569811,0.418786633,-0.089539637,-0.227904579,-1.332124621,-0.09183168,-0.322855011,-0.077146143,-0.086582409,-0.220069403,0.224297418,0.055561927,-0.366061487,0.068413628,-0.154544002
b0072,0.121544842,-0.566192425,-1.235409899,-1.080105126,0.121544842,0.178234633,-0.01810531,0.679136772,0.444236861,-0.159680131,-0.298809467,-1.107863966,0.05282283,-0.609370918,-0.204954397,-0.104693581,-0.248882454,-0.010784829,0.121544842,-0.19007978,0.131238727,0.154338206
b0073,0.171382233,-0.439187223,-1.03952989,-0.895233326,0.171382233,0.27195131,0.19166376,0.687383076,0.562898293,-0.365176439,-0.134108359,-0.905608226,0.079613789,-0.437291741,-0.14897026,-0.051770932,-0.309856286,0.039772671,0.171382233,-0.031488679,0.062802566,0.444353215
b0074,0.218249526,-0.385868902,-0.82538593,-0.836139807,0.218249526,0.198053117,0.084391823,0.638783067,0.358136249,-0.407223822,-0.185492574,-1.46397837,0.032302228,-0.374635525,-0.247524755,0.035884491,-0.205584585,-0.170654402,0.218249526,-0.175763966,-0.029210729,0.482700851
b0075,0.164948719,0.160706619,0.048955875,-0.233214647,0.164948719,0.346983897,0.508638371,0.817990571,0.757324231,-0.776334221,0.191869453,-0.897881523,-0.289457407,0.9758685,0.281488065,0.574381935,0.388836095,0.551317013,0.164948719,-0.441064466,0.239251151,0.466913565
b0076,-0.187634661,0.38495385,0.676731419,0.284863226,-0.187634661,-1.034776293,-0.099653319,0.204917983,-0.42030209,0.371157625,-0.529762481,-0.670659579,0.760313059,0.491500064,0.191746359,-0.308487943,-0.142001172,0.312963424,-0.187634661,-0.102570033,0.204078888,0.127342725
b0077,0.32241639,-1.260507811,-1.658900707,-1.12556255,0.32241639,0.761172075,0.599343555,0.609333688,0.305862916,-1.095921948,-0.067237578,-0.243619509,-0.81304651,-0.830570335,0.12867278,0.512772299,0.570153514,0.15613065,0.32241639,-0.160508181,0.073289421,0.404356119
b0078,0.301787319,-1.159713731,-1.524520651,-1.178476017,0.301787319,0.770699125,0.574362075,0.715672521,0.472222328,-1.156581607,0.042215302,-0.460643956,-0.827337171,-0.508741262,0.251219651,0.700004936,0.644700527,0.308353629,0.301787319,-0.169939022,0.31244267,0.392398241
b0080,0.117782468,-0.285436509,-0.325279766,-0.01751351,0.117782468,0.507940327,0.403810693,0.592112479,0.2257308,-0.567347563,0.03899772,0.247789305,-0.261312474,-0.216273236,0.21400016,0.424311865,0.37572968,0.278845765,0.117782468,0.030528567,-0.074959593,0.480489857
b0081,0.00453857,0.013855416,0.009021695,0.165807905,0.00453857,0.167295757,0.326742871,0.36384606,0.507115455,-0.138316891,-0.158430678,0.043283133,-0.020641489,0.065342157,0.124701181,0.133812146,0.277468052,0.259211331,0.00453857,0.017945565,0.175406198,0.238515312
b0082,0.012369413,-0.070486561,-0.180910869,-0.142511468,0.012369413,0.081042551,0.014213283,0.066914167,0.104981099,0.086409981,-0.28280954,-0.156803592,0.104838239,0.019373485,-0.123518219,-0.074987285,0.093994354,0.03914966,0.012369413,-0.109232247,-0.084128522,-0.024132346
b0083,-0.041152834,-0.179195752,-0.357620638,-0.253439876,-0.041152834,0.01380963,0.019708242,-0.002921921,0.023751955,0.074763531,-0.439729643,-0.268246343,-0.080372545,0.393729256,0.048694972,-0.038707526,0.035136658,0.1867482,-0.041152834,-0.131023318,-0.18338468,-0.125780178
b0084,-0.029203482,-0.127090343,-0.447546555,-0.320384376,-0.029203482,-0.078402538,-0.078965346,0.00475195,0.137608657,0.149721959,-0.126396463,-0.181964945,-0.109042963,0.112492283,-0.062111511,-0.079227522,0.057375753,0.100202842,-0.029203482,-0.11833838,-0.19688898,-0.098936019
b0085,0.011683255,-0.251411311,-0.678119451,-0.20822902,0.011683255,0.333262601,0.00120021,0.164631157,0.267592115,0.052564062,-0.161900693,0.332938333,0.053582231,-0.249958751,-0.087613825,-0.031471713,0.030788767,0.037458458,0.011683255,-0.097035646,-0.329175989,-0.078980999
b0086,0.037835984,-0.234113252,-0.783707574,-0.176512997,0.037835984,0.380705681,-0.073802768,0.197762312,0.331417313,0.094507434,-0.091363724,0.386265014,-0.084753353,-0.506066788,-0.208015386,-0.065789642,-0.011510004,-0.018180789,0.037835984,-0.093011892,-0.420332085,-0.084102137
b0087,0.029493197,-0.234385979,-0.90867872,-0.215951818,0.029493197,0.392201781,-0.045038787,0.122036896,0.15713465,0.100950364,-0.202477476,0.09583743,-0.188618507,-0.467477199,-0.189429954,-0.002341915,0.03341699,0.108892449,0.029493197,-0.151833366,-0.317038735,-0.142262066
b0088,0.045247323,-0.310845715,-0.936709686,-0.191446095,0.045247323,0.48870682,-0.03387016,0.233220251,0.330885629,-0.01918298,-0.272293952,0.38576175,-0.195704677,-0.768693796,-0.11655899,0.021176377,0.057567626,0.090219898,0.045247323,-0.171321465,-0.370350355,-0.069533055
b0089,0.021781554,-0.307028139,-0.967947815,-0.162938491,0.021781554,0.256006345,-0.077633766,0.078859974,0.079951345,0.024315793,-0.093990712,0.263573235,-0.26188651,-0.702074654,-0.089660455,0.144807892,0.037601938,0.032178446,0.021781554,-0.031230963,-0.21789144,-0.02966805
b0090,0.061974588,-0.354125581,-0.927043437,-0.125322414,0.061974588,0.438451868,0.143007728,0.180147964,0.203550708,-0.049068412,-0.163037088,0.339763742,-0.232295292,-1.186848438,-0.136855352,0.064536121,0.155094544,0.072087007,0.061974588,-0.048679437,-0.156163824,0.030962832
b0091,0.072205101,-0.434109496,-0.876557895,-0.233136207,0.072205101,0.43665471,0.075008572,0.211438897,0.144845598,-0.107350734,0.04418401,0.25621423,-0.279604123,-0.850312743,-0.109264569,0.07474342,0.125472515,-0.007402873,0.072205101,-0.092395201,-0.229526471,-0.099172866
b0092,0.055706202,-0.277875932,-0.696561796,-0.086186725,0.055706202,0.323476268,0.103386084,0.141742567,0.023467009,0.031723643,-0.245410802,0.250905335,-0.217461827,-0.757651895,-0.19884225,-0.08293697,0.120939081,0.001409714,0.055706202,-0.032974221,-0.060991989,-0.100459
b0093,-0.026651715,-0.260120771,-0.555548238,-0.060032387,-0.026651715,0.291167262,0.089463048,0.11436555,0.048802103,0.005245836,-0.167715993,0.300856478,-0.182845281,-0.234993569,0.07470931,0.060361612,0.19575475,0.187031921,-0.026651715,-0.06802333,-0.063553281,-0.148622492
b0094,-0.019027284,-0.306656675,-0.419104412,-0.066133109,-0.019027284,0.299409019,0.086765516,0.156976495,0.061382786,-0.056029799,-0.142286629,0.141962934,0.084233775,0.178080257,0.113111653,0.043097679,0.205103181,0.231609856,-0.019027284,0.017165809,-0.061203349,-0.193699485
b0095,0.010589275,-0.280598874,-0.373244961,-0.12763213,0.010589275,0.286937134,0.062621377,0.147960613,-0.046814312,0.02386186,-0.419094647,0.176921078,0.125550868,0.125436359,-0.055629686,-0.153483929,0.140433281,0.139211725,0.010589275,-0.019857778,0.031264329,-0.221956589
b0096,0.057306258,0.186937828,0.47696857,0.473661239,0.057306258,0.225178152,0.199229929,0.281440841,-0.113463536,-0.061765988,-0.282435607,-0.046610033,-0.220843088,0.095220189,-0.110152785,0.084917301,0.221102683,0.030323986,0.057306258,0.118935213,0.099348939,0.025439339
