,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0343,1,1.584962501,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,1
b0344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.869208251
b0345,-0.535037275,-0.657894023,-0.342392197,-0.083657929,-0.342392197,-0.723482365,-0.342392197,-0.169925001,-0.125530882,-0.497499659,-0.678071905,0.308122295,0.232173442,-0.169925001,-0.316857105,-0.626185163,0.135655099
b0346,0.691877705,0.7589919,0.691877705,-2.700439718,-3.700439718,-2.700439718,-1.115477217,-1.169925001,-1.054447784,-1.754887502,0.103093493,-1,-1.415037499,0.321928095,-0.378511623,-0.530514717,-0.115477217
b0347,0.584962501,1,0.584962501,0,-1,-1,-1,-1,-2,-0.415037499,1.169925001,-1,-1,0,-1,0,0.584962501
b0348,1,1,0,1,0,0,0,-1,-1,0,1.321928095,0,0,0,0,0,1
b0349,0.321928095,0.874469118,0.502500341,-0.125530882,0.321928095,0.874469118,0.115477217,-0.415037499,-0.263034406,0.584962501,0.415037499,-0.415037499,-0.125530882,0.222392421,-0.125530882,0.502500341,1.222392421
b0350,0,0.761840263,0.120294234,-0.353636955,0.120294234,0.833990049,0,-0.530514717,-0.612976877,0.253756592,0.854149134,-0.473931188,-0.321928095,0.163498732,-0.201633861,0.430634354,1.031026896
b0351,0.439285046,0.950246965,0.384143491,-0.127755547,0.326810316,0.962847002,0.384143491,-0.094636874,-0.362570079,0.251538767,1.011404763,-0.462343214,-0.253756592,0.331205908,0.117356951,0.183446141,0.937535913
b0352,0.565597176,0.99034983,0.35614381,-0.206450877,-0.22881869,0.499101764,0.180572246,-0.59946207,-0.473931188,-0.120294234,0.831877241,-0.914270126,-0.833350131,0.21818017,0.214124805,0.074962058,0.847996907
b0353,0.415037499,1.222392421,0.415037499,0,0,1,0.415037499,-1,-1,0.321928095,1,-0.584962501,-0.584962501,0.415037499,0,0.736965594,1
b0354,0.432959407,0.485426827,0.584962501,-0.234465254,0.201633861,-0.234465254,-0.074000581,-0.788495895,-0.440572591,0.144389909,-0.078002512,-0.087462841,0.371968777,0.304854582,0.201633861,0.5360529,0.678071905
b0355,0,0.436099115,-0.280107919,-0.502500341,0,0,0.497499659,0.206450877,-0.612976877,-0.056583528,0.253756592,-0.362570079,-0.667424661,-0.169925001,-0.180572246,0.304854582,0.866733469
b0356,-0.610053482,-0.076621282,-0.668156436,-0.518130992,-0.9510904,-0.668156436,0.036836768,-0.849508373,-0.682611065,-0.134485332,-0.744538814,-0.089637212,-0.146220741,-0.071258683,-0.273018494,-0.063565129,0.311944006
